recordId	category	verdict	heading	dupKey	incomingStatus	incomingHeb	incomingCoords	kimaId	kimaMazal	kimaMazalStatus	kimaHeb	kimaCoords	kimaVariantCount	distanceKm	sharedNames	alsoInKimaId	earlierHeadings	nameMismatch	verdictNote
987007480110605171	dup-places-diff	both-live	ליברץ (צ'כיה)	ליברץ (צ'כיה)	live	ליברץ (צ'כיה)	50.7, 15.0	13601	987007567064405171	live	ליברץ (צ'כיה)	50.766666666666666, 15.05	4	8.2	Liberecký kraj (Czech Republic) | ליברץ (צ'כיה) | ليبيركي كراج (جمهورية التشيك)	90633		rom: kima=Liberec (Czech Republic) nli=Liberecký kraj (Czech Republic) | heb: kima=ליברץ (צ'כיה: מחוז) nli=ליברץ (צ'כיה)	שתי הרשומות קיימות ב־NLI — כפילות אמיתית
987007479992705171	dup-places-diff	both-live	זלין (צ'כיה)	זלין (צ'כיה)	live	זלין (צ'כיה)	49.2, 17.7	90680	987007530957905171	live	זלין (צ'כיה)	49.233055555556, 17.666944444444	0	4.4	Zlínský kraj (Czech Republic) | זלין (צ'כיה) | زلينسكي كراج (جمهورية التشيك)	90621		rom: kima=Zlín (Czech Republic) nli=Zlínský kraj (Czech Republic) | heb: kima=זלין (צ'כיה:מחוז) nli=זלין (צ'כיה)	שתי הרשומות קיימות ב־NLI — כפילות אמיתית
987014197239905171	dup-places-diff	kima-id-suppressed	צרפת הדרומית	צרפת הדרומית	live	צרפת הדרומית	44.0, 3.75	1398	987007550763305171	suppressed	צרפת הדרומית		9						המזהה בכימה קיים במאגר אך אינו נמסר — נמחק/הוסתר
987007540197805171	dup-variants	same-id	וסטפליה (ממלכה)	וסטפליה (ממלכה), Königreich Westphalen	live	וסטפליה (ממלכה)	51.30846, 9.49961	18848	987007540197805171	live	וסטפליה (ממלכה)	51.31, 9.5	6	0.2	Königreich Westphalen | Westphalia (Kingdom) | וסטפליה (ממלכה) | ويستفاليا (المملكة)				כימה כבר מצביעה על אותה רשומה
987007548063605171	dup-variants	same-id	טפליצה (צ'כיה)	טפליצה (צ'כיה), Teplitz-Schönau	live	טפליצה (צ'כיה)	50.64028, 13.82444	8155	987007548063605171	live	טפליצה (צ'כיה)	50.633333333333, 13.816666666667	18	0.9	Bad Teplitz-Schönau (Czech Republic) | Schönau (Czech Republic) | Teplice (Czech Republic) | Teplice (Czechoslovakia) | Teplice, Czechoslovakia | Teplice-Šanov (Czech Republic) | Teplitz-Schönau | Teplitz-Schönau Bad (Czech Republic) | Šanov-Teplice (Czech Republic) | טיפליץ (צ'כיה) | טעפליטץ (צ'כיה) | טעפליץ (צ'כיה) | טפליץ (צ'כיה) | טפליצה (צ'כיה) | تيبليتسه (جمهورية التشيك)				כימה כבר מצביעה על אותה רשומה
987007552890205171	dup-variants	same-id	הראדץ קרלובה (צ'כיה)	הראדץ קרלובה (צ'כיה), Königgrätz	live	הראדץ קרלובה (צ'כיה)	50.20917, 15.83194	9290	987007552890205171	live	הראדץ קרלובה (צ'כיה)	50.209166666667, 15.831944444444	6	0.0	Hradec Králové (Czech Republic) | Hradec Králové (Czechoslovakia) | Hradec Králové, Czechoslovakia | Königgrätz | Königgrätz (Czechoslovakia) | הראדץ קרלובה (צ'כיה) | هراديك كرالوفيه (جمهورية التشيك)				כימה כבר מצביעה על אותה רשומה
987007561090505171	dup-variants	same-id	איי סנקאקו	איי סנקאקו, Senkaku-shotō	live	איי סנקאקו	25.745, 123.485	3929	987007561090505171	live	איי סנקאקו	25.745, 123.485	14	0.0	Diaoyutai Islands | Pinnacle Islands | Senkaku Islands | Senkaku-gunto | Senkaku-retto | Senkaku-shotō | Tiao-yü-tʻai lieh yü | Tiaoyutai Islands | איי סנקאקו | جزر سينكاكو				כימה כבר מצביעה על אותה רשומה
987007567340505171	dup-variants	same-id	רייטיה	רייטיה, Rätien	live	רייטיה	47.36, 8.56	16993	987007567340505171	live	רייטיה	47.36, 8.56	8	0.0	Raetia | Raetia Romana | Raetien | Rezia | Rhaetia | Rätien | רייטיה | رايتيا				כימה כבר מצביעה על אותה רשומה
987007566722805171	dup-variants	kima-unresolved	נורקופינג (שוודיה)	נורקופינג (שוודיה), Norrköping	live	נורקופינג (שוודיה)	58.57933, 16.14932						0	0.0	Norrköping | Norrköping (Sweden) | נורקופינג (שוודיה) | نوركوبينج (السويد)	9219		heb: kima=נורקופינג (שבדיה) nli=נורקופינג (שוודיה)	לא אותר מקום בכימה עבור הכותרת
987007282537205171	dup-variants	same-id	יער בוהמי	יער בוהמי, Böhmerwald	live	יער בוהמי	49.0, 13.5	1870	987007282537205171	live	יער בוהמי	49, 13.5	4	0.0	Bohemian Forest | Böhmerwald | Český Les | יער בוהמי | الغابة البوهيمية				כימה כבר מצביעה על אותה רשומה
